id,text_EN,text_CZ,text,modified,onlyid
ui_codex_name_albrecht_iv,Albert IV of Habsburg,Albrecht IV. Habsburský,ハプスブルグのアルブレヒト4世,ハプスブルクのアルブレヒトIV世,
ui_codex_name_alchymie,Alchemy,Alchymie,錬金,錬金,
ui_codex_name_apothecary,Pharmacist,Apatykář,薬屋,薬屋,
ui_codex_name_astrologie,Astrology,Astrologie,占星術,占星術,
ui_codex_name_avicenna,Avicenna (Ibn Síná),"Avicenna, Ibn Síná",アヴィセンナ（イブン・スィーナー）,アウィケンナ(イブン゠スィーナー),
ui_codex_name_baker,Baker,Pekař,パン屋,パン屋,
ui_codex_name_barber,Baths and Bathmaids,Lázně a lazebnice,浴場とその女中,浴場とその女中,
ui_codex_name_beekeeper,Beekeeping,Včelař,養蜂,養蜂,
ui_codex_name_benedict,Pope Benedict XIII,Papež Benedikt XIII. ,教皇ベネディクトゥス13世,教皇ベネディクトゥスXIII世,
ui_codex_name_bergov,"Otto III of Trosky, called Bergow",Ota III. zvaný Bergov z Trosek,トロスキのオットー3世（ベルゴー）,トロスキのベルゴフことオトIII世,
ui_codex_name_blacksmith,Blacksmith,Kovář,鍛冶屋,鍛冶屋,
ui_codex_name_bohosluzby,Liturgy,Bohoslužby,礼拝式,典礼,
ui_codex_name_bojova_technika,Combat Technique,Bojová technika,戦闘技術,戦闘技術,
ui_codex_name_bonifac_ix,Pope Boniface IX,Papež Bonifác IX.,教皇ボニファティウス9世,教皇ボニファティウスIX世,
ui_codex_name_bozi_soud,Trial by Ordeal,Boží soud,神明裁判,神明裁判,
ui_codex_name_butcher,Butcher,Řezník,肉屋,肉屋,
ui_codex_name_bylinky,Healing Herbs,Bylinky v léčitelství,治療用の薬草,治療用の薬草,
ui_codex_name_capon,Jan Ptáček (Hans Capon),Jan Ptáček z Lipé ,ヤン・プタチェック（ハンス・カポン）,ヤン゠プターチェク,
ui_codex_name_capon_father,"Jan ""Birdie"" Ješek",Jan Ješek řečený Ptáček,ヤン・バーディー・イエシェック,ヤン゠〈プターチェク〉゠イェシェク,
ui_codex_name_carodejnictvi,Witchcraft,Čarodějnictví,魔術,魔術,
ui_codex_name_carpenter,Carpenters and Joiners,Tesař a truhlář,大工と家具職人,大工と家具職人,
ui_codex_name_castles,Gothic Architecture,Gotická architektura,ゴシック建築,ゴシック建築,
ui_codex_name_certova_b,The Devil's Furrow,Čertova brázda,悪魔のわだち,悪魔のわだち,
ui_codex_name_cestovani,Travel and Travelling Merchants,Cestování a obchodní cesty,移動と行商,移動と行商,
ui_codex_name_charita,Charity,Charita,施し,施し,
ui_codex_name_charles,Charles IV,Karel IV. ,チャールズ4世,カレルI世,
ui_codex_name_city_garrison,Town Garrison,Stráž a městská hotovost,町の駐屯地,都市の衛兵,
ui_codex_name_cizinci,Foreigners,Cizinci,異国人,異邦人,
ui_codex_name_clement,Pope Clement VII,Papež Klement VII. ,教皇クレメンス7世,教皇クレメンスVII世,
ui_codex_name_collier,Charcoal-Burner,Uhlíř,炭焼き職人,炭焼き職人,
ui_codex_name_crafting,Guilds and Crafts,Cechy a řemesla,ギルドと生産,ギルドと生産品,
ui_codex_name_crime,Crime and Punishment,Zločin a trest,犯罪と刑罰,犯罪と刑罰,
ui_codex_name_crisis_middle_age,Medieval Crises,Krize pozdního středověku,中世の危機,中世の危機,
ui_codex_name_desatek,Tithes,Desátek,十分の一税,十分の一税,
ui_codex_name_devoutness,Roman Catholic Church,Církev,ローマカトリック教会,ローマカトリック教会,
ui_codex_name_disciple,Journeymen and Apprentices,Tovaryši a učedníci,職人と弟子,職人と徒弟,
ui_codex_name_divish,Sir Divish of Talmberg,Diviš z Talmberka,タルムバークのディビシュ卿,タルムベルクのディヴィシュ卿,
ui_codex_name_dobyvani_KH,The Conquest of Kuttenberg,Dobývání Kutné Hory,クッテンバークの征服,クッテンベルクの制圧,
ui_codex_name_domaci_zvirata,Animal Husbandry,Chov domácích zvířat,畜産,畜産,
ui_codex_name_executioner,Executioner,Kat,処刑人,処刑人,
ui_codex_name_falsovani,Forgery,Falšování,偽造,偽造,
ui_codex_name_fashion,Clothing and Fashion,Oblečení a móda,衣服とファッション,衣服とファッション,
ui_codex_name_feudal,Feudalism,Feudalismus,封建制度,封建制度,
ui_codex_name_fighting,Weapons,Zbraně,武器,武器,
ui_codex_name_fisherman,Fisherman,Rybář,釣り人,釣り人,
ui_codex_name_food,Food,Jídlo,食べ物,食べ物,
ui_codex_name_glejt,Safe Conduct,Glejt,安全の保証,安全の保証,
ui_codex_name_gravedigger,Gravedigger,Hrobník,墓掘り人,墓掘り人,
ui_codex_name_hanush,Sir Hanush of Leipa,Hanuš z Lipé ,ハヌシュ卿,リパーのハヌシュ卿,1
ui_codex_name_hare_lords,Zajíc Family of Zaluzh and Hasenburg ,"Rod Zajíců z Valdeka, ze Záluží a Hazmburku ",ザルツとハーセンベルクのザイーツ家 ,ザールジーおよびハーズムブルクのザイーツ家,
ui_codex_name_henry_of_leipa,Henry of Leipa,Jindřich z Lipé ,ライパのヘンリー,リパーのインジフ,
ui_codex_name_henry_rosenberg,Heinrich III von Rosenberg ,Jindřich III. z Rožmberka ,ローゼンバーグのハインリッヒ3世 ,ロジュムベルクのインジフIII世,
ui_codex_name_heraldika,Heraldry,Heraldika,紋章,紋章,
ui_codex_name_hospoda,"Taverns, Inns and Innkeepers",Hospody a hospodští,酒場と宿屋とその主人,酒場と宿屋とその主人,
ui_codex_name_housing,Houses and Dwellings,Domy a bydlení,家と居所,家と住居,
ui_codex_name_hradiste,Gord,Hradiště ,城塞,城塞,
ui_codex_name_hroznata_z_uzic,Hroznata of Uhzitz and Husitz,Hroznata z Úžic a z Husic ,ウージッツとフシッツのフロズナタ,ウージツェとフシツのフロズナタ,
ui_codex_name_hunter,Huntsman,Lovčí,狩人,狩人,
ui_codex_name_hygiena,Drinking Water,Pitná voda,飲み水,飲み水,
ui_codex_name_hygiene,Hygiene,Hygiena,衛生,衛生,
ui_codex_name_inquisition,Inquisition,Inkvizice,異端審問,異端審問,
ui_codex_name_jan_hus,John Hus,Jan Hus,ヤン・フス,ヤン゠フス,
ui_codex_name_jan_sokol,John Sokol of Lamberg ,Jan Sokol z Lamberka,ランバーグのヨン・スコル ,ラムベルクのヤン゠ソコル,
