id,text_EN,text_CZ,text,modified,note,onlyid
ui_nm_a_camp_proof_bandit,Bandit leader's spurs,Ostruhy vůdce lapků,盗賊の首領の拍車,盗賊の首領の拍車,
ui_nm_a_camp_proof_cuman,Cuman leader's mask,Maska kumánského velitele,クマン人の首領のマスク,クマン人の首領のマスク,
ui_nm_abbots_list,Novice acceptance records,Přijímací protokoly noviců,入門者受け入れ記録,入門者受け入れ記録,
ui_nm_alchemyOil,Oleum,olej,オレウム,オレウム,
ui_nm_alchemySpiritus,Spiritus,kořalka,スピリタス,スピリタス,
ui_nm_alchemyWater,Aqua,voda,アクア,アクア,
ui_nm_alchemyWine,Vinum,víno,ウィヌム,ウィヌム,
ui_nm_antisleep_potion_bundle,Pack of sleeping potions,Spánkové lektvary pro vojáky,睡眠ポーションの包み,睡眠ポーションの包み,
ui_nm_AntlersNew,Antlers,Jelení parohy,鹿の角,鹿の角,
ui_nm_apple,Apple,Jablko,リンゴ,リンゴ,
ui_nm_apple_cooked,Cooked apple,Vařené jablko,焼きリンゴ,焼きリンゴ,
ui_nm_apple_dried,Dried apple,Sušené jablko,干しリンゴ,干しリンゴ,
ui_nm_apron_001,Apron,Zástěra,エプロン,エプロン,
ui_nm_apron_002,Blacksmith's apron,Zástěra kovářská,鍛冶屋のエプロン,鍛冶屋のエプロン,
ui_nm_apron_003,Leather apron,Zástěra kožená ,革のエプロン,革のエプロン,
ui_nm_arrow_bad,Poor quality arrow,Nekvalitní šíp,粗末な矢,粗末な矢,
ui_nm_arrow_broken,Broken arrow,Zlomený šíp,折れた矢,折れた矢,
ui_nm_arrow_common,Ordinary arrow,Obyčejný šíp,ありきたりな矢,平凡な矢,
ui_nm_arrow_enh_hunter,Better hunting arrow,Šíp lovecký lepší,良質な狩猟用の矢,良質な狩猟用の矢,
ui_nm_arrow_enh_long,Long-distance arrow,Šíp dalekonosný,遠飛の矢,遠飛の矢,
ui_nm_arrow_enh_pierce,Better piercing arrow,Šíp průbojný lepší,良質な貫通の矢,良質な貫通の矢,
ui_nm_arrow_EXAMPLE,New test arrow,Nový testovací šíp,新規テスト用矢,新規テスト用矢,
ui_nm_arrow_floating,Tournament arrow,Šíp turnajový,トーナメント用の矢,競技会用の矢,
ui_nm_arrow_good,Quality arrow,Šíp kvalitní,質のいい矢,質のいい矢,
ui_nm_arrow_hunter,Hunting arrow,Šíp lovecký,狩猟の矢,狩猟の矢,
ui_nm_arrow_pierce,Piercing arrow,Šíp průbojný,貫通の矢,貫通の矢,
ui_nm_arrow_testing,Better long-distance arrow,Šíp dalekonosný lepší,良質な遠飛の矢,良質な遠飛の矢,
ui_nm_aus_plat,Augsburg plate pauldrons,Ramena plátová augšpurská,アウグスブルク式プレートポールドロン,アウグスブルクのプレートポールドロン,
ui_nm_aus_plat_noh,Augsburg plate chausses,Nohy plátové augšpurské,アウグスブルク式プレートショース,アウグスブルクのプレートショース,
ui_nm_auspurk_ruka,Augsburg gauntlets,Rukavice augšpurské,アウグスブルク式ガントレット,アウグスブルクのガントレット,
ui_nm_avalon_steel,Foreign steel,Cizozemská ocel,外国産の鋼鉄,外国産の鋼鉄,
ui_nm_axe,Axe,Sekera,斧,斧,
ui_nm_axe_EXAMPLE,Test axe,Testovací sekera,テスト斧,テスト斧,
ui_nm_axe_expensive_01,Metal-plated battle axe,Sekera válečná okovaná,装飾されたバトルアックス,装飾された戦斧,
ui_nm_axe_expensive_02,Metal-plated battle axe,Válečná sekera okovaná,装飾されたバトルアックス,装飾された戦斧,
ui_nm_bacchus_ring,Ring of Bacchus,Bakchův prsten,バッカスの指輪,バッカスの指輪,
ui_nm_bacon,Bacon,Slanina,ベーコン,ベーコン,
ui_nm_bailiffs_mace,Bailiff's mace,Bulava rychtářská,執行官のメイス,執行官のメイス,
ui_nm_bandage,Bandage,Obvaz,包帯,包帯,
ui_nm_bandit_ear,Bandit's ear,Ucho lapky,盗賊の耳,盗賊の耳,
ui_nm_bardiche,Bardiche,Bardyše,バルディッシュ,バルディッシュ,
ui_nm_battle_axe,Axe,Sekera válečná,アックス,アックス,
ui_nm_batvat,Padded coif,Batvat,パッデッドコイフ,パッド付き頭巾,
ui_nm_batvat_cer,Dark padded coif,Batvat černěný,ダークパッデッドコイフ,暗色のパッド付き頭巾,
ui_nm_bauers_cross,Wooden cross,Dřevěný kříž,木の十字架,木の十字架,
ui_nm_bavorsky_haube,Decorated Bavarian hauberk,Hauberk bavorský zdobený,装飾されたバイエルン式ホーバーク,バイエルンの装飾されたホーバーク,
ui_nm_bearded_axe,Bardiche,Bradatice,バルディッシュ,バルディッシュ,
ui_nm_bedrich_key,Scribe Friedrich's study key,Písařův klíč,書記官フリードリヒの書斎の鍵,書記官の鍵,
