id,text_EN,text_CZ,text,modified,onlyid
location_Zrzkuv_ukryt,Ginger's Hideout,Zrzkův úkryt,赤髪の隠れ家,赤髪の隠れ家,
location_Zricenina_na__J9aKLxvj,Ruin on Hill with view of Sasau,Zřícenina na kopci s výhledem na Sázavu,ササウを見下ろす丘の遺跡,サーザヴァを見下ろす丘の遺跡,
location_zlomordyrovo_doupe,Murderer's lair,Zlomordýřovo doupě,殺人者の隠れ家,殺人者の隠れ家,
location_Zelinar_Sazava,Sasau Greengrocer,Sázava zelinář ,ササウの青果店,サーザヴァの青果店,
location_Zelinar_Ledecko,Ledetchko Greengrocer,Ledečko zelinář ,レデチコの青果店,レデチコの青果店,
location_Zajicuv_ukryt,Hare's Hideout,Zajícův úkryt,ヘアの隠れ家,ザイーツの隠れ家,
location_zajaty_kubajs,Captive Jakey,Zajatý Kubajs,囚われの酔いどれ,囚われの酔いどれ,
location_Wolflinuv_tabor,Wolflin's Encampment,Wolflinův tábor,ヴォルフリンの野営地,ヴォルフリンの野営地,
location_Vypaleny_statek,Burned-out farm,Vypálený statek,焼け落ちた農場,焼け落ちた農場,
location_Vyhlidka_na_Talmberk,Lookout Point over Talmberg,Vyhlídka na Talmberk,タルムバークを一望できる場所,タルムベルクを一望できる場所,
location_Vyhlidka_na_lom,Viewpoint Of Quarry,Vyhlídka na lom,採石場が見える場所,採石場が見える場所,
location_Vyhlidka_milencu,Lovers' Lookout,Vyhlídka milenců,恋人たちの見晴台,恋人たちの見晴台,
location_Vrsiny_tabor_kumanu,Cuman's Hill Camp,Vršiny tábor Kumánů,クマン人の丘の野営地,クマン人の丘の野営地,
location_Vrsiny,Highlands,Vršiny,山地,山地,
location_Vranik_lezeni,Vranik Fortress,Vraník ležení,ヴラーニク砦,ヴラニーク砦,
location_Vranik_cesticka,Vranik path,Vraník cestička,ヴラーニクへの道,ヴラニークへの道,
location_Vranik,Vranik,Vraník,ヴラーニク,ヴラニーク,
location_Vezeni_Sazava,Sasau Jail,Sázava vězení ,ササウの牢獄,サーザヴァの牢獄,
location_Vetrny_mlyn_Uzice,Uzhitz Windmill,Úžice větrný mlýn ,ウージッツの風車,ウージツェの風車,
location_Vetrny_mlyn_Mrchojedy,Merhojed Windmill,Mrchojedy větrný mlýn ,マホイエドの風車,ムルホイェディの風車,
location_Uzicky_kostel,Uzhitz Church,Úžický kostel,ウージッツの教会,ウージツェの教会,
location_UZICE_RYCHTA,Uzhitz Bailiff's House,Úžice rychta,ウージッツの執行官の家,ウージツェの執行官の家,
location_Uzice_hrebcin,Uzhitz Stud Farm,Úžice hřebčín,ウージッツの軍馬飼育場,ウージツェの軍馬飼育場,
location_Uzice_dum_Kuby,Uzhitz - Lubosh's House,Úžice Lubošův dům,ルボシュの家 - ウージッツ,ウージツェ、ルボシュの家,
location_Uzice_drevorubci,Uzhitz Woodcutters,Úžice dřevorubci,ウージッツの木こり,ウージツェの木こり,
location_Uzice,Uzhitz,Úžice,ウージッツ,ウージツェ,
location_Ukryt_unoscu,Kidnappers' hideout,Úkryt únosců,人さらいの隠れ家,人さらいの隠れ家,
location_Uhliri_Rovna,Rovna Charcoal-Burners,Rovná uhlíři ,ロヴナの炭焼き職人,ロヴナの炭焼き職人,
location_Uhliri_Neuhof_Talmberk,Charcoal Burners Neuhof Talmberg,Neuhof Talmberk uhlíři,ノイホフ・タルムバークの炭焼き職人,ネウホフ・タルムベルクの炭焼き職人,
location_Uhliri_Neuhof_Sever,Charcoal Burners Neuhof North,Neuhof sever uhlíři,ノイホフ北の炭焼き職人,ネウホフ北の炭焼き職人,
location_Uhliri_Neuhof_Jih,Charcoal Burners Neuhof South ,Neuhof jih uhlíři,ノイホフ南の炭焼き職人 ,ネウホフ南の炭焼き職人 ,
location_u_dana__v_obejvaku,Dan's room,u dana  v obejváku,ダンの部屋,ダンの部屋,
location_Trunni_sal,Throne Room,Trůnní sál,王座の部屋,王座の部屋,
location_Trener_sermu_Rataje,Rattay master swordsman,Rataje trenér šermu ,ラッタイの剣の達人,ラタイェの剣の達人,
location_Talmberk_zbrojnice,Talmberg Armoury,Talmberk zbrojnice,タルムバークの兵装庫,タルムベルクの兵装庫,
location_Talmberk_zapa_WrixqT19,Talmberg Western Battlements,Talmberk západní hradby,タルムバークの西胸壁,タルムベルクの西胸壁,
location_Talmberk_vnitrni_brana,Talmberg inner gate,Talmberk vnitřní brána,タルムバークの内門,タルムベルクの内門,
location_Talmberk_vnejsi_hradby,Talmberg Outer Battlements,Talmberk vnější hradby,タルムバークの胸壁,タルムベルクの胸壁,
location_Talmberk_utok_5FQdXGEV,Talmberg Attack On Battlements,Talmberk útok na hradby,胸壁へのタルムバークの攻撃,タルムベルクの城壁へ攻撃,
location_Talmberk_seve_NrciQGp3,Talmberg Northeastern Tower,Talmberk severovýchodní věž,タルムバークの北東塔,タルムベルクの北東塔,
location_Talmberk_seve_7jVieaxc,Talmberg Northwestern Tower,Talmberk severozápadní věž,タルムバークの北塔,タルムベルクの北塔,
location_Talmberk_rybarna,Talmberg Fishery,Talmberk rybárna,タルムバークの漁場,タルムベルクの漁場,
location_Talmberk_predhradi,Talmberg Outer Bailey,Talmberk předhradí,タルムバークの外壁,タルムベルクの外壁,
location_Talmberk_palac,Talmberg Palace,Talmberk palác,タルムバーク宮殿,タルムベルク宮殿,
location_Talmberk_oble_baBSDsAG,Talmberg Siege Encampment,Talmberk obléhací tábor,タルムバークの包囲野営地,タルムベルクの包囲野営地,
location_Talmberk_nadvori,Talmberg Bailey,Talmberk nádvoří,タルムバークの外壁,タルムベルクの外壁,
location_talmberk_lazne,Talmberg Bathhouse,Talmberk lázně,タルムバークの浴場,タルムベルクの浴場,
location_Talmberk_hrad,Talmberg Castle,Talmberk hrad,タルムバーク城,タルムベルク城,
location_Talmberk_hrac_nu6B2RGr,Player's chamber in Talmberg,Talmberk hráčova komnata,タルムバークのヘンリーの部屋,タルムベルクのヘンリーの部屋,
location_Talmberk_dome_ZMvnw4B6,Talmberg Courtyard Lodge,Talmberk domek na nádvoří,タルムバークの中庭の宿,タルムベルクの中庭の宿,
location_Talmberk,Talmberg,Talmberk,タルムバーク,タルムベルク,
location_Taboriste_u_Neuhofu,Encampment by Neuhof,Tábořiště u Neuhofu,ノイホフ周辺の野営地,ネウホフ周辺の野営地,
location_Taboriste_Neuhof_sever,Neuhof North Camp,Neuhof sever tábořiště ,ノイホフ北の野営地,ネウホフ北の野営地,
