"id","text_EN","text_CZ","text","modified","onlyid"
"ui_in_potion_stamina_medium","Increases Stamina by 30% for 20 minutes.","Na 20 minut zvyší Staminu o 30&nbsp;%."," 20分間にわたりスタミナが30%上昇する",,
"ui_in_potion_stamina_high","Increases Stamina by 30% and Stamina regeneration by 15% for 40 minutes.","Na 40 minut zvyší Staminu o 30&nbsp;% a regeneraci Staminy o 15&nbsp;%."," 40分間にわたりスタミナが30%上昇し、スタミナの回復速度が25%上昇する",,
"ui_in_simple_dress_ruffled"," A frilly, tight-fitting dress with a raised skirt tip coquettishly revealing the petticoat are coming into fashion especially in cities.","Přiléhavé nabírané šaty s pozvednutým cípem sukně koketně odhalujícím spodničku přicházejí do módy především ve městech."," フリルたっぷりで体にフィットするドレス。スカートの裾を持ち上げ、あざとくペチコートを見せている。都市部で特に流行のスタイルだ",,
"perk_undercut_desc","If you use a quick start $sprint; $sprint;, your horse will briefly run faster than the wind! The effect will last 10 seconds.","Pokud využiješ rychlého startu $sprint; $sprint;, tvůj kůň nakrátko běží rychleji než vítr! Efekt potrvá 10 sekund.","$sprint;  、 $sprint; で走り始めると、わずかな間、馬が風よりも早く走る。効果は10秒間続く",,
"perk_undercut_ii_desc","When using the fast start $sprint; $sprint;, the horse will start even faster than before and will not lose stamina. The effect will last 10 seconds.","Při použití rychlého startu $sprint; $sprint; kůň vyrazí ještě o něco rychleji než předtím a navíc mu nebude ubývat Stamina. Efekt potrvá 10 sekund.","$sprint;  、 $sprint; で走り始めると、馬がこれまで以上に早く走り出し、スタミナを消費しない。効果は10秒間続く",,
"location_novy_testicek",,"novy testicek","***未翻訳テキスト***","***未翻訳テキスト***",
"location_test_shadiness_near",,"Test pochybných blízko","***未翻訳テキスト***","***未翻訳テキスト***",
"location_test_shadiness_medium",,"Test pochybných medium","***未翻訳テキスト***","***未翻訳テキスト***",
"location_test_shadiness_far",,"Test pochybných daleko","***未翻訳テキスト***","***未翻訳テキスト***",
"location_TestPOI",,"Testovací lokace","***未翻訳テキスト***","***未翻訳テキスト***",
"location_test_crime_justiceLeague",,"Testovací lokace pro Ligu Spravedlnosti","***未翻訳テキスト***","***未翻訳テキスト***",
"location_test_shadiness_merchant",,"Test pochybných obchodník","***未翻訳テキスト***","***未翻訳テキスト***",
"location_krcak","Kerchak Pond","Krčák","***未翻訳テキスト***","***未翻訳テキスト***",
"location_svet_kh","Zeus knows","Zeus ví kde","***未翻訳テキスト***","***未翻訳テキスト***",
"location_location_hatedOnes",,"Lokace záporáci","***未翻訳テキスト***","***未翻訳テキスト***",
"location_location_comrades",,"Lokace soudruzi","***未翻訳テキスト***","***未翻訳テキスト***",
"location_location_GoodOnes",,"Lokace dobráci","***未翻訳テキスト***","***未翻訳テキスト***",
"perk_distract_desc","DLC - You can send a dog to lure a person away. (obsolete)","DLC - Můžeš psa poslat odlákat osobu. (obsolete)",".",,
"ui_in_potion_aesop","Increases Horsemanship and Houndmaster by 3 for a quarter of a day. Animals will take less notice of you, so you'll find it easier to approach them.","Na čtvrt dne zvýší Jezdectví a Psovoda o 3. Zvířata si tě budou méně všímat, takže se k nim snáz přiblížíš.","1/4日にわたり馬術と犬使いが3上昇する。動物に近づいても警戒されにくくなる",,
"ui_in_potion_embrocation","Increases Agility by 2 for 10 minutes.","Na 10 minut zvýší Obratnost o 2.","10分間にわたり俊敏性が2上昇する",,
"ui_in_potion_embrocation_medium","Increases Agility by 4 and Sprint will cost 10% less stamina, lasts 10 minutes.","Na 10 minut zvýší Obratnost o 4 a sprint ti bude ubírat o 10&nbsp;% méně Staminy.","10分間にわたり俊敏性が4上昇し、ダッシュの消費スタミナが10%低下する",,
"ui_in_potion_bowmanBrew_medium","Increases Marksmanship by 3 and slows down Stamina loss when aiming by 20% for 10 minutes.","Na 10 minut zvýší dovednost Střelné zbraně o 3 a zpomalí úbytek Staminy při míření o 20&nbsp;%.","10分間にわたり弓術が3上昇し、狙いをつける際のスタミナ消費が20%遅くなる",,
"ui_in_potion_bowmanBrew","Increases Marksmanship by 3 for 10 minutes.","Na 10 minut zvyší Boj střelnými zbraněmi o 3.","10分間にわたり弓術が3上昇する",,
"ui_in_potion_bowmanBrew_high","Increases Marksmanship by 5 and slows down Stamina loss when aiming by 50% for 10 minutes.","Na 10 minut zvyší Boj střelnými zbraněmi o 5 a zpomalí úbytek Staminy při míření o 50&nbsp;%.","10分間にわたり弓術が5上昇し、狙いをつける際のスタミナ消費が50%遅くなる",,
