text_EN,text,modified,notes
,カール4世,カレルIV世,
,「カール皇帝」,『カレル帝』,
,古代神聖ローマ帝国,古代ローマ帝国,
,イエス・キリスト,イエス゠キリスト,
,べンツェスラウス,ヴァーツラフ,
,ベンツェスラウス4世,ヴァーツラフIV世,
,ベンツェスラウス3世,ヴァーツラフIII世,
,ベンツェスラウス2世,ヴァーツラフII世,
,ベンツェスラウス1世,ヴァーツラフI世,
,オットーカール,オタカル,
,オットーカール1世,オタカルI世,
,オットーカール2世,オタカルII世,
,プシェミスル・オタカル1世,プシェミスル朝のオタカルI世,
,プシェミスル・オタカル2世,プシェミスル朝のオタカルII世,
,プシェミスル・オタカル,プシェミスル朝のオタカル,
,マークヴァート・フォン・オーリッツ,マルクヴァルト゠フォン゠アウリッツ,
,マークヴァート・フォン・ オーリッツ,マルクヴァルト゠フォン゠アウリッツ,
,ピーター・ヴァルド,ピーター゠ワルドー,
,ヤン・ジシュカ,ヤン゠ジシュカ,
,ヤン・ソコル,ヤン゠ソコル,
,ラザル・フレベリャノヴィチ,ラザル゠フレヴェリヤノヴィチ,
Katerina,カテリーナ,カテジナ,
,キャサリン,カテジナ,
,ペブルズ,シェディフカ,
,ジョン,ヤン,
,ウルリッヒ,ウルリヒ,
,ウルリッヒ・フォン・ショーンバーク,ウルリヒ゠フォン゠シャウムベルク,
,ウルリッヒ・フォン・ ショーンバーク,ウルリヒ゠フォン゠シャウムベルク,
,スタッフェンバーク,サイミンムニャムニャベルク
,ショーンバーク,シャウムベルク,
,フロリアン,フロリアーン,
,ペテロ,ペトル,
,ジェームズ,ヤクプ,
,マンサ・ムーサー,マンサ゠ムーサ,
,マンサ・ムーサ,マンサ゠ムーサ,
Hermann,ハーマン,ヘルジマン,
Hermann,ヘルマン,ヘルジマン,
Kaspar,カスパー,カシュパル,
Kaspar,カスパール,カシュパル,
,シャルル王,カレル王,
,ジョン・ウィクリフ,ジョン゠ウィクリフ,
,ヤン・フス,ヤン゠フス,
,ヘンリー,インジフ,
,ハインリッヒ・フォン・スカリッツ,ハインリヒ゠フォン゠スカーリッツ,
,ヒネク1世,ヒネクI世,
,ハンス・カポン,ヤン゠プターチェク,
,ムッシュ・ハンス,プターチェク卿,
,ハンス卿,プターチェク卿,
,ハンス様,プターチェク様,
,ピルクシュタイン卿ハンス・カポン,ピルクシュテインの領主ヤン゠プターチェク,
,マット,ヴォジェフ
,ヘルメス・トリスメギストス,ヘルメス゠トリスメギストス,
,オットー・フォン・ベルゴー,オットー゠フォン゠ベルガウ,
,オットー・ フォン・ベルゴー,オットー゠ フォン゠ベルガウ,
,オットー・フォン・ ベルゴー,オットー゠ フォン゠ベルガウ,
,オットー・フォン・ベルガウ,オットー゠フォン゠ベルガウ,
,フォン・ベルガウ公,フォン゠ベルガウ卿,
,フォン・ ベルガウ,フォン゠ベルガウ,
,フォン・ ベルゴー,フォン゠ベルガウ,
,フォン・ベルゴー,フォン゠ベルガウ,
,オルダ・セミン,オルジフ゠セミーン,
,若きセミン卿,セミーンの若年卿,
,オルダ,オルジフ,
,若きオルジフ,オルジフ若年卿,
,ラジク・コビラ,ラツェク゠コビラ,
,ラジク・ コビラ,ラツェク゠コビラ,
,ラチェク,ラツェク,
,ラジク,ラツェク,
Master Fiore Furlano de'i Liberi de Cividale d'Austria,フィオーレ・フルラーノ・デ・リベリ・ダ・シヴィデール・デ・オーストリア,フィオーレ゠フルラーノ゠デイ゠リベーリ゠デ゠チヴィダーレ゠ダウストリア師,
,タルホーファー,タールホーファー,
,オット・ユド,オットー゠ユド,
,ランプレヒト・フォン・プラハ,プラハのランプレヒト,
